兴茂山水国际	钟鼓楼街道都历村7组1002号（渝东大花园旁）	108.3925490,30.8269250
悦海豪庭	星沙泉塘漓湘东路88号	113.1155000,28.2277500
天山创想小镇	塔西大街88号	114.7144680,37.9997810
万科天府公园城	沈阳路东段	104.0837120,30.4708040
建发文澜和著	厦门一中海沧校区旁	117.9648020,24.5370950
南通绿地新都会	人民路718号（小石桥东2公里，麦德龙超市正对面）	120.9105860,32.0211890
深国际万科和颂轩	龙华区民治街道民治大道与梅观路西北侧	114.0476600,22.6043400
贵安-云谷智都汇	黔中路电子信息产业园	106.5750500,26.4079700
合生颐廷	迎周路99号	120.9874200,31.4590400
海峡传媒港	西江滨大道52号（闽侯县行政中心旁）	119.1484740,26.1356530
香格里温泉小镇	澄迈永发镇江北路查看地图	110.1966400,19.7483410
东时区	新世纪大道东时区	121.0728430,32.0293750
鑫宁家园	鑫宁家园虎石台经济开发区虎石台南大街15号	123.5156860,41.9235410
世合理想大地明德居	三环东路世合理想大地明德居	120.7952820,30.7877690
万象首府	中央大街20甲1-4号	123.2430060,41.7545710
日头泊社区旧村改造项目	纬五路南	121.5238770,37.4119480
万科臻境	无锡惠山区凤宾路与天昌路交叉口西南侧	120.3019120,31.6441310
锦秀华庭	广东省肇庆怀集县怀城镇解放北路登云亭（消防队旁）	112.1825000,23.9213720
古北佘山国际别墅	业辉路600弄	121.2108460,31.1423840
华宇锦绣花城	方桥路3号	120.5616290,31.4328480
首创国际城	蜀都大道与东三环路交界东南侧	104.0842870,30.6553970
龙岸	梅坂（五和）大道以北	114.0615280,22.6233310
嘉宝花园	凤凰路98号（图书馆对面）	109.5211450,18.2531180
越秀滨海新城	金沙路与环市大道北路交汇处	113.5508700,22.8151150
万科熙望	九里山西路万科熙望	117.1313640,34.3082389
天和豪庭	大旺区高新区建设一路	112.8200660,23.3040240
黄金时代广场	历下经十路9999号查看地图	117.1139410,36.6608520
名郡新城	怀来沙城镇府前西街延长线查看地图	117.1091110,40.1400400
奥园半岛ONE	天宝大道777号	104.0228180,30.4667100
水韵康庭	沂源县县城沿河西路369号	118.1534130,36.1906240
元琦林居	花溪区小河转盘旁黔江路十里江南对面(紧邻贵阳药用植物园后门)	106.7047810,26.5349610
卓玺公馆	辛集市教育路与古城大街西南角（辛集皮革城正对面）	115.2357020,37.9499900
新烽火荣上居	金台区胜利桥南清姜路东侧	107.1367600,34.3617360
绿地咸宁城际空间站	咸宁市咸安区高铁北站站前广场	114.3266930,30.5357270
三江国际丽城-阅世集大成	经开区经开区红塔街495号查看地图	104.1900460,30.5382570
金荣盛景濠庭	迎宾路与香山路交汇处往北200米路西	113.6674100,34.8711490
信达之江壹品	梦园街与美音巷交叉口	120.0800960,30.1636450
万科中央公园	大朗长顺街与长盛南路交汇处（长盛广场旁）	113.9278650,22.9373880
晨光尚品	灵溪镇体育场路以西,仁英路以北,建兴路以南	120.4307600,27.5232040
帝斯曼国际中心	武珞路421号	114.3294630,30.5358120
正弘山	中州大道和郑汴路交叉口向东200米路南	113.7265450,34.7469890
金宸国际花园	花北路南侧、北潮河路东侧（项目现场）	120.2822240,31.8704940
招商学府1872	竹园路与塔园路交汇处	120.5597030,31.2810490
金石绿城	华光路与西八路交汇处，石村北巷2号	118.0066750,36.8208870
丰盛豪庭	容奇大道中14号	113.2811280,22.7778100
俊发城金盏苑	司家营街金盏苑	102.7425780,25.1083280
环球融创会展上东区	滨河路，地铁2、4号线光达站4号出口	113.0838490,28.1487240
兰亭园	湖滨路5188号	120.8484310,31.4538060
龙湖新壹城	江宁龙眠大道与格致路交汇处（1号线南京交院站2号口）查看地图	118.9040020,31.9127560
中建人居山水颐墅	都江堰市蒲阳路灵岩山南二环内	103.6315950,31.0025610
鑫江水青木华	城阳华仙路南、鑫江希尔顿酒店西	120.4199060,36.2448840
融创珞瑜路95号	珞瑜路与卓刀泉北路交汇处	114.3684500,30.5203060
汉中紫薇苑	江埔街河东南路91号	113.5971990,23.5372640
当代MOMΛ未来城	龙溪大道与花溪孟关大道交汇处	106.7419470,26.4853960
建发中央悦府	茶园坡路75号	113.0077710,28.1597780
盛泰首府	香港路78号（梅山路与香港路交汇处）	119.9896390,36.7451020
海风四季	奉化沿海中线与狮山路交叉口	121.5667960,29.8325540
半城中央	石马河来鹿寺一号	106.4662550,29.5948590
祥龙景苑	秀峰大道祥龙景苑	114.8072750,25.7062330
广州敏捷绿湖首府	石滩镇新城大道石滩中学北侧400米	113.8031000,23.2004630
奥园金坭湾	贵乾路奥园金坭湾	113.3020810,22.1939260
深蓝中心	东海西路11号	120.3730750,36.0590630
世纪城玫瑰公馆	南城西平东骏路（南城体育公园旁）	113.7531370,22.9875620
幸福花苑	枣园街道办事处驻地	117.4713760,36.7327820
滨湖俊园	观山湖科技产业园湖滨路与都匀路交叉口处（阳关大道和白云大道交汇处）	0.0000000,0.0000000
漫山香墅	市中舜耕路于二环南路交汇处	117.0134540,36.5859860
江山汇悦山府	宝塔桥江山汇悦山府	118.7682680,32.1153130
宋都时间名座后浪	余杭杭州市余杭区临平新城藕花洲大街与宝幢路交叉口	120.2819840,30.4057870
信义嘉御山	坂田街道五和大道与吉华路交汇处	114.0600540,22.6332900
迎江园	鼓楼鼓楼区三汊河	118.7329340,32.0709620
风度泊林	蒲河新城芳草路29号	123.6028000,41.9202990
绿地麓云国际	映日路与梧桐路交汇处	112.8766180,28.1802790
嘉乐城	高新区城司路与洋砂路交汇处（城司路江苏银行东侧）	120.8521800,31.0317200
