高新万达广场	工业南路与会展东路交汇处	117.1277760,36.6842760
万科柏悦湾	博爱七路万科柏悦湾	113.4527010,22.5098370
敏捷西城星荟	大鼎路与太和南路交叉路口往西北约150米(龟顶山北侧约150米)	112.4211400,23.0514100
桃花雅墅	仪征东首	119.2761760,32.4244450
中海万锦熙岸商业	成都市天府新区华阳瑞祥东街739号	104.0704500,30.5043760
方直香山墅	东镇东二路30号	113.5164380,22.5503020
东郡一号	开泰大道东郡一号	117.8730950,37.1811440
滇池印象	滇池旅游渡假区广福路以南金家河以西(香槟小镇对面)	102.6960320,24.9755190
腾步大厦	迎宾大道4号	113.1987510,23.3989610
圣亚-绿溪园	中润大道与西九路交汇处（职业病防治院附近）	118.0113620,36.8358480
中信御园	平阳街与曙光路交会处	125.3342990,43.8743010
鸿顺观邸	运河路鸿顺观邸	116.6080840,35.3659610
潖江壹號	佛冈石角镇沿江西路16号（龙溪桥桥头）查看地图	113.8370730,23.2818100
西城品阁	新安片区前进路与新安路交汇处（天虹后侧）	113.8152120,22.7280700
锦绣半岛金月湾	南浦大道（东新高速南浦站出口）	113.2569970,23.0381840
四季豪庭	弥牟镇弥牟南街2号（南街路口附近）	104.2009930,30.8780060
鸿洋东方名都	荷塘三和路与纬三路交汇处（东环路辅道旁）查看地图	112.9082460,28.3093360
红星美凯龙	西山区广福路与陆家路交叉处	102.6831650,24.9930530
玉兰花园	东城中路黄旗广场旁边	113.7682300,23.0232360
百福大厦	丹西街道象山县象山港路与新丰路交叉口的东南角	121.8751170,29.4619610
钜隆碧琴湾	道滘西部干道一道滘中心（绿福酒楼对面）	113.6686420,23.0135210
金阳湾	仁和镇市民广场	119.6141200,29.8411700
德建雅居	建设路延伸线与任兴路交汇处	116.5984800,35.4489680
招商1872公园里	钟燕东路招商1872公园里	118.8289730,32.1387150
中南泷悦府	嘉兴市平湖市乍浦镇南湾路与外环东路交汇处	121.0996000,30.6161140
金溪花园	玉箫路与五环路交叉口	120.9688290,28.0919350
金辉优步湖畔	白山路316号	123.3440060,41.8381570
东部万科城	御和路	113.8301480,22.7128450
明昱公园	秀厢大道东段83号（狮山公园斜对面）	108.3346400,22.8636100
鑫海天城	318国道与拱辰路交汇处	103.5012620,30.4300630
花香漫城	珠峰大街和淮河道交汇处东南角	114.6022790,38.0408850
盛世华南	广东省东莞市万江街道盛世华南	113.7249690,23.0378070
三盛璞悦苑	秀山路与厂洪路交汇处西南侧200米	121.2342950,31.8855180
中冶德贤公馆	大沽南路与洪泽路交口	117.2441690,39.0836140
融侨新城-泷郡	阳下洪宽大道东侧	119.4156160,25.7572880
桃溪云庐	西二环与庙山东路交汇处（城市桃源东）	121.2262290,30.1802670
龙山庄园临湖台	递铺镇环翠路68号	119.6866120,30.6090760
祥江墅	荣茉大道84号	108.4507900,22.7957310
保利天空之城泊院	兴隆街道罗家店村八组201号	104.0967370,30.4410210
新城逸隽	金湖路与金桂东路交汇处（金坛大道北侧）	119.6274872,31.7326965
鸿顺-吉祥欣苑	嘉合路西，吉祥路南	116.4098270,35.4144820
金帆北苑经济适用房	鼓楼幕府西路130号（南京鲜果品公司北面）	118.7597780,32.1004550
万松荣安府	万松东路与环镇东路交汇处（万松东路小学旁）	120.6899610,27.7682320
蓝湾景天	如泰运河与通扬运河交汇处（农工商超市对面）	120.5308120,32.3874770
凤璘府	斗门路与中园路交汇处，行政服务中心北面	121.4244960,29.6731890
世茂弘阳绿岛湖公馆	禅城区绿岛湖弘德北路与横三路交界处	113.0184150,23.0200050
龙湖梵城商铺	成都市成华区新成华大道与建工路交叉口东20米	104.1177160,30.6741900
佑安府	右安门外大街佑安府,西二环西铁营万达广场东侧	116.3582170,39.8590320
格蒂名门	万步路399号	120.9259340,31.3872620
橙仕空间	高新三路8号（西高智能大厦一层）	108.9004010,34.2398770
世宏城市广场	包公大道与临泉东路交口西南角	117.3360380,31.8767780
万瑞MARRIER金开都会HOUSE	金州大道万瑞MARRIER金开都会HOUSE	106.5490280,29.6410230
南通东鼎置业葛关路地块	葛关路与扬村三路交汇处（南京化学工业公司以北）	118.7714920,32.2224030
万振城市广场	马鞍山路与望江路交口向南300米	117.3020700,31.8245570
远洋天地	新开路与华捷道交口	117.2194130,39.1389350
名门橙邦	二七区大学路与长江路交汇处	113.6452680,34.7115070
润江新华壹号	西三庄街与联盟路交口	114.4475920,38.0786540
蓉海西悦华府	永文路蓉海西悦华府	103.9124370,30.7133350
佳兆业玖珑山	八角路与镇南路交叉口，南对西湖景区群山余脉灵山风景区，北邻双流公园	120.0645190,30.1468540
金地紫云庭	津塘路与昆仑路交口（一号桥轻轨站旁）	117.2826550,39.0965240
郦景澜庭	阿房一路与阿房路的交汇处（西北角）	108.8540290,34.2688740
万科香湖盛景	元江街63-2号（丁香湖东北角）	123.3508570,41.8662500
金都夏宫	北沙西路156号	120.2658480,30.4290330
珠江东岸	西区珠江东岸会所（距深汕高速坑梓收费站1500米）	114.4451540,22.7550320
中国铁建原香颂	宁桥南路168号	118.6073490,31.8590130
长房半岛蓝湾金街ONE	湘府东路与万家丽路交汇处东600米（天际岭风景区）	113.0551460,28.1207190
重庆来福士广场	朝天门广场	106.5885090,29.5634280
武地电建汤湖观筑	车城东路与沌口路交汇处（汤湖公园旁）	114.1728460,30.4668620
禹洲珑玥湾	新安江路以南、天门山路以西	117.3779630,31.8678240
龙源-悦水苑	如皋市搬经镇育贤西50米	120.4622150,32.2550350
富禹盛京学府	大明湖街2号	123.2930110,41.7654990
商旅新悦城	东环路与中新大道交汇处（欧尚超市往西500米）	120.7684170,31.3063810
曙光小区	官渡区金马立交桥西侧黎明路	102.7366630,25.0327790
现代印象华庭商	黄江袁屋围大道南康百货旁	114.0028980,22.9093030
海棠别馆	锦业二路86号	108.8580710,34.1816950
湘楚华庭	漓湘东路与东九路交汇处的西南角（警校北门东边）	113.1337440,28.2273290
琨瑜府	关山大道77号	114.4171250,30.5024800
中建亮月湖	二环南路与玉煤大道交汇处西北角（亮月湖畔）	112.5248220,28.2621940
粤泰荔湾华府	南岸路43号	113.2294630,23.1353180
锦尚云天-古镇	三桥武警一路与阿房四路十字东南角	108.8434290,34.2825720
观巢	朝阳区安立路与慧忠北路西北角	116.4077560,39.9987780
保利茉莉公馆	和平路与京珠高速交叉口东行100米路南	114.5948330,38.0541370
悦湖美郡	震泽镇镇南东路一路1533号	120.5150000,30.9150420
雅福居	侨香三道西北侧（山姆会员店北）	114.0073500,22.5485540
天御尚城	魁奇一路3号（魁奇一路与佛山大道交汇处）	113.1046410,22.9942470
森林假日	友谊路48-8号	108.2888660,22.7590640
保利观棠和府	潘杨路与虎跃东路交汇处	118.8127770,32.3067120
鸿翔钱塘院子	海宁区农丰路西侧，育才路南侧	120.7026430,30.5092440
雍锦世家	澄昌路与丹桂路交叉口西北角	120.8206040,29.5639030
清华城东区	龙湖36街区丰泽东二街与丰泽南街	116.7449840,23.3630090
花都名雅苑	花山镇花山路40号	113.2720110,23.4404210
博旭时代	五一南大街博旭时代	115.8841780,39.3245840
光映明月湾	凤城旅游度假区海景路	121.2041070,36.6961270
保利居上	郭巷街道郭新东路78号	120.6827710,31.2463850
辰悦	北辰高峰路与龙门东道交口查看地图	117.1472640,39.2166540
远南曦湾邸	港口镇木河迳东路16号	113.3948880,22.5674190
禹洲嘉誉山河	成都市邛崃市西街与西较场口交叉路口往西约150米(邛崃市机关幼儿园西北侧)	103.4555910,30.4142460
永川万科城	兴龙大道永川万科城	105.9409400,29.3558860
瑞鑫摩天城	南二环与太白路十字向西80米路北	108.9222820,34.2351700
唐门一品观澜	路北友谊路与龙华道交叉口西行100米青龙湖公园北侧	118.1362390,39.6782790
华尔兹广场	观岭大道1189号	104.4118950,30.8729090
锦桥花园	鲁中东大街95号	117.7012510,36.2126240
万科招商理想城	重庆西部现代物流园旁	106.3657770,29.6493000
大鸿城壹号	河南省新密大鸿路与栖霞路交叉口西南角	113.3607730,34.5325390
盛木天一方	海南省海口市美兰区海甸岛和平大道69号（36路车终点站）	110.3420300,20.0764650
宝龙旭辉城	苕溪东路与圩田路交叉口(万达东门)	120.1507460,30.8667180
华鸿罗兰春天	九环路60号(南为九华路,北面为九环路)	120.2704080,30.3279130
碧桂园正荣湾棠	双马石路碧桂园正荣湾棠	115.7350460,28.7031020
天籁雅筑	玉龙纳西族自治县玉龙县政府隔壁查看地图	105.8193470,29.5438210
盛唐府	东侧为蓝玉河，西邻东海路，南侧为12号河，北接渤海大道	118.4444900,39.1817180
中国铁建中心	市北傍海中路21号	120.3398330,36.1253530
中铁人杰水岸	浦河路27-51号	123.4007570,41.9422150
宁江大院	一环路与蒲阳路交汇处	104.0620630,30.6861600
悦尚公馆	大石街富丽商住区403号	113.3164850,23.0165770
中核锦悦府	盈港东路1000号	121.2686090,31.1710170
恒兴-启程	周隆路恒兴·启程	117.8763160,36.7864330
华润博麓雅园	湖南省长沙市岳麓区天顶街道枫林三路	112.8447490,28.2004820
家园佳居国际印象	其他天府新区视高新城景观大道2号查看地图	104.1669530,30.7198880
祥生绿都京杭府	崇杭街与里洋路交叉口	120.1341800,30.3831930
华邑世纪城	千山西路58号（怒江北街与千山西路交汇处西行700米）	123.3852310,41.8775060
金树-白云美镇	石角镇白云村（紧邻老瀛山白云观）	106.7355140,28.9816900
建业海马九如府	金水-CBD-九如路,近朝阳路	113.7435740,34.7964920
隆腾盛世	深圳市龙岗大道与惠州市新圩镇东风路交汇处	114.3267540,22.8140200
宇洋西海广场	岳麓金星中路288号（咸嘉湖路与金星大道交汇处）	112.9338990,28.2113100
君悦蓝庭	黄江金怡酒店正对面	114.0093000,22.9142500
君和名城珺合府	丰乐北路68号君和名城珺合府营销中心（地铁5号线大沙东站）	113.4587770,23.1054600
龙田文旅小镇	济南市章丘区济南野生动物世界（西门）西邻500米	117.4521630,36.6196820
霍尔寓所	彩塔街50号（辽宁工业展览馆西门对面）	123.4319830,41.7733020
金侨瑞公馆	九园公路与滨湖路交口东北侧	117.2073920,39.3049240
金印阳光城	金水国基路与柳西路交汇处西北	113.6741440,34.8195960
天元棠樾湖居	邰城路南端(邰城广场旁)	108.0774470,34.2423690
福星惠誉美术城云玺	国际文化区核心板块	108.8041210,34.4182510
城市玫瑰园	西安街181号	123.3850200,41.7721290
旭辉珺悦府	萧然西路旭辉珺悦府	120.2587180,30.1425900
阳光城檀境	福州市台江区长乐南路与排尾路交界处	119.3306710,26.0559800
雅居乐锦尚雅宸	祥和街99号	104.0268760,30.8383950
嘉定区嘉定新城E27-1地块	东至永盛路，南至麦积路，西至合作路，北至封周路	121.2658690,31.3275040
龙瀚东园	津南-双林-浯水道	117.2682570,39.0507020
保利百合花园	四方金沙路17号（青岛纺机后侧）	120.3606760,36.1317210
天元伊水湾	滨河路天元伊水湾	113.0453370,34.4601520
风临美丽湾	东莞市万江区莞穗大道与西城路交汇处	113.7129650,23.0578200
欣乐道华府	新乐路（惠高旁）	114.4721800,23.0681430
金地悦江时代	古田路与古田二路交汇处	114.1839130,30.5915150
裕源锦里	港南路以东，西关路以西，紫荆山庄以北	120.7503110,37.8110060
美的滨湖翠邸	青山湖畔滨湖新区	119.7398765,30.2445841
碧桂园中央公园	海福路碧桂园中央公园	121.0253390,30.7109140
坪山首座	横坪路汤坑小学旁	114.3157540,22.6663770
光谷东郡	葛店经济开发区高新大道与湖滨路交汇处	114.3995240,30.4402810
上铁江锦云庐	长兴气象路和浦长大道交叉口	119.8385490,31.0232990
巽寮湾幸福方舟	惠州惠东巽寮湾情海路（美食街旁）	114.7495010,22.6737450
金都上品	亭桥南路与世纪大道交汇处西南侧	120.9171080,30.8199360
龙湖华庭	梅山路与淮河路交叉口向北500米	113.6785750,34.6108090
永缘城市交响	华玉路（龙门阵公园西行200米）	106.4370000,29.4826670
云邸	朝阳区开运街与孟家二路交会	125.2570680,43.8485840
省直家园	包河-卫岗-太湖东路	117.2928840,31.8326420
江盛江南岸	新湾大道与闸口路交叉口北	120.5395660,30.2840210
东丽湖万科城小镇里	东丽湖路与东丽之光大道交口	117.4768890,39.1918260
恒泰理想城	前新路与海盛路交口旁	102.7047890,24.9830360
世茂梦享家	淳化街道瑞文路199号	118.8977380,31.8840390
启迪协信星麓原	通江大道与金鹿大道交汇处（首创奥特莱斯旁）	106.6201000,29.4587050
保利香槟颂	桥新路	114.0621470,23.0186400
新里程铂景湾	芙蓉南路（湘雅二医院分院北侧）	112.9868300,28.1350590
铭豪观樾	薛家南路(联丰西路延伸段南侧)	121.5039080,29.8672640
融旷?格林学府	复兴路融旷?格林学府	119.5383780,26.1850500
海玥金茂悦	华志路666弄	121.2272190,31.2324230
中南正荣海上明悦	环西路中南正荣海上明悦	121.6498880,31.2607550
朗基八俊里	渝南分流道中段位置	106.5573740,29.4695690
众安白马山庄	留和路众安白马山庄	120.0141380,30.2166490
恒大悦龙台	龙山路1号	114.3757980,37.8861590
阳光100果岭公馆	中央大街与十号街交汇处	123.2485230,41.7611910
花曼沁园	东鄱南路7号	113.0889430,23.0316930
东南微公馆	福州市闽侯县南通商贸大道67号	119.2863350,25.9432970
怡湖公馆	华金大道二段180号(花鸟市场对面）	104.2635890,30.8828560
汉唐蜜园	宏图路	113.7266800,22.9869210
中国铁建西派国际	太华路与北二环十字东南角	108.9342010,34.3108860
惠州奥园天翔誉峰	仲恺高新区惠风东二路6号	114.3681320,23.0239820
九如居	泾渭四路51号	109.0108060,34.4438730
平南实业东风西路项目	东风西路源溪大街14-20号	113.2431640,23.1261130
嘉定区江桥镇北社区K1-01地块	海波路乐秀路交叉口	121.3144530,31.2686380
鑫水园	裕华路与民心河交口东北角	114.5411610,38.0593190
国盛三千城	磁器口（磁器口地铁站旁）,磁建村88号	106.4508100,29.5730190
龙翔国际	龙南县105国道濂江桥头	114.8179350,24.9050390
融创时代中心	胶州市新城区温州路1888号	120.0563780,36.2351750
金地中央公园	沈家桥一路与西沣三路交汇处西北角	108.8965460,34.1791340
万科鑫苑SkyPark云璞	曹安公路86号	121.1627800,31.2884600
德信大家-时代公馆	中兴路与塔山街交叉口（联合国地信大会会址对面）	119.9715260,30.5220590
贵阳恒大城市之光	花溪大道中段甘荫塘（原乌江水泥厂）	106.6834869,26.5263767
城发凤凰城	凤凰北路	116.7723480,36.5612070
森林海	政务区翡翠路和习友路交口西南侧	117.2157240,31.8015070
莱钢金鼎左岸水都	航空路8号	117.5771640,36.4164000
冀兴尊园	建华大街与跃进路交叉口西北角	114.5444360,38.0495650
香月湖	益州大道中段699号（天府一街与天府二街之间）	104.0592940,30.5549390
北雁湖玥园	永和路北雁湖玥园	117.1436760,31.8175230
逸水鼎城	滨江路西	104.5576080,30.3888010
华山星岄府	祁连街与珠江大道交口南行500米路东	114.6160700,38.0193880
天纵御景湾	川龙大道与环后湖北路交汇处	114.2701890,30.7558250
美好锦宸熙园	北临云新路，南临环镇南路，西临太平路，东临云顾路	120.3436530,31.8603110
荣盛莉湖春晓	东北至莉湖二号路，西南至莉湖三号路，东南至莉湖一号路	118.8374250,32.3208120
明园九龙湾	国体大道	115.8211600,28.6298900
大足大城小院	五星社区八组五星大道26号	105.7373450,29.7030480
和达正阳北岸	龙翔路577号	120.2289190,36.2844160
华商公馆	金寨路与汤口路交口（幸福大街）	117.1888380,31.7548670
昌泰茗城	那洪大道昌泰茗城	108.3102810,22.7546520
上河城	北京路南、上海路北、泉州路东	120.0507430,36.2645300
明发北站新城	滁州市来安县汊河104国道与长江路交汇处	118.7898300,32.0439300
五矿哈佛小镇	天心万家丽路与月塘路的交汇处东南角(理工大学云塘校区旁)	113.0021680,28.0629660
保利天府林语	兴隆湖南天府大道视高段	104.0862960,30.3995200
嘉华星际湾	西湖中路111号（原西湖酒店）	113.8637750,23.0980940
天一名筑	经济技术开发区洪湖二街1号	123.3079510,41.7794770
北纬37°康旅示范小镇	新湖街北纬37°康旅示范小镇	117.1411170,37.2709210
古北御庭	龙汇路55弄	121.5490200,31.1991040
蓝光雍锦湾	滨海大道108号	121.8799820,31.0252960
龙湖一号公馆	南龙湖祥云路与湖滨路交汇处	113.6972210,34.6158590
建工梧桐屿	青白江凤祥大道建工梧桐屿	104.2646180,30.8985960
海伦堡-海伦湾	清城人民一路与铁塔路交汇处（顺盈时代广场斜对面）查看地图	113.6258150,23.1088680
中环国际城北区	南三环	108.9505550,34.1865120
明珠花园	和平路东首	117.0787350,36.6623240
走马岭1號	走马岭1号（东西湖大道国家级食品工业基地）	114.0302300,30.6425720
升伟铂寓	谢家湾文化三村（万象城旁）	106.5170670,29.5235120
永晖壹号院	四中路以东，泰和家园东北侧	120.1127220,30.8868620
碧海观山	金阳大道一中斜对面	106.6311520,26.6160720
富州新城兰亭	富洲路10号（高九路与石小路交汇处）	106.4743770,29.5391320
中新领袖天地	园区胜浦路258号（胜浦路东强胜路北）	120.8263990,31.3317020
汇锦国际凌江	月安街50号（苍山路，月安街交汇处）	118.7235460,32.0233260
碧桂园保利海悦天境	临善路碧桂园保利海悦天境	113.5309820,22.2038330
汇丰桃园	屯昌海南省屯昌县环西南路查看地图	110.0942950,19.3510530
丰南容和	惠丰湖东南侧，运河东路与文化大街交叉口	118.0838960,39.5638540
远洋福美瑾园	工业路与站南街交汇处东南角	114.8340140,38.0237290
九峰远见	姚南路169号九峰小区南门西侧（雀园路旁）	112.9796500,28.0940520
瑞京时代汽配广场	铁西北二西路与肇工街交汇处(地铁1号线启工街站)	123.3436560,41.8082970
海成-长江之星	江南新区南滨路	107.0686240,29.8104080
中华坊	澄迈老城经济开发区南海大道11-1号（软件园对面）查看地图	109.5205700,18.2827900
滨湖龙川里	龙川路与合作化路交口西北角	117.2451970,31.7949750
武隆碧桂园江山赋	重庆市武隆区碧桂园江山赋	108.8137870,29.4772820
江鸿-枫侨郡	兴龙大道888号	105.9384650,29.3360110
雅居乐江城雅郡	龙城路与进修路交会处向南100米	119.5481200,32.4288260
水秀天地	太湖新城开平路与水秀街交汇处（吴江中学西南方约一公里）	120.5925670,31.1350140
瑞日天下花园	碧桂路98号	113.2935950,23.0328070
锦瑞府	湖州市南浔菱湖镇	120.4310490,30.8762470
东华-滨湖壹号院	友谊大街与国文路交叉口东侧	118.0734590,39.5714330
阳光城京悦府	潞西路与兴光二街交汇处	116.5582170,39.8347620
威宁小区	长宁-仙霞-仙霞路737弄	121.3852730,31.2077870
圆融中心	园区旺墩路269号	120.7149370,31.3176670
富力御江山小区	新安江根龙街道	119.2835430,29.4639200
恒力城	鼓楼五四路128号（闽江饭店旁）	119.3057250,26.0916180
大华紫郡	奥体中心南3.6公里龙鼎大道西侧	117.1159700,36.6153330
华峰晶蓝江岸	涪陵迎宾大道555号附近	107.3606570,29.7279140
